freqs,times,roi,power,degree,coreness,efficiency
3.0,0,a46D,-1.9754515,-0.42608196,0.16460578,-1.068639
3.0,0,a8B,-1.8111894,-0.45894206,0.06350626,0.93624616
3.0,0,F6,1.3828291,2.0125592,3.4651775,2.7392461
3.0,0,a9/46D,0.27635923,0.7419421,0.9452394,1.2429943
3.0,0,a8M,0.6523712,1.5395278,1.5856667,1.7143228
3.0,0,F7,0.5011683,1.5240678,2.4900663,1.9837978
3.0,0,a8r,-2.388476,-1.5355512,-2.579702,-0.56997657
3.0,0,a8L,-0.60024196,-1.212683,-0.13300508,-1.4706535
3.0,0,F2,-0.09689351,1.3462199,1.9436963,0.02195336
3.0,0,a44,-0.4314114,-0.9515483,0.299564,-1.2682024
3.0,0,F1,0.24645527,3.036641,3.388202,1.2903022
3.0,0,a3,-1.0424788,0.15677555,1.1090429,0.22903962
3.0,0,a2,-0.12511854,1.8885086,2.358958,2.4856534
3.0,0,a1,-1.3192044,2.850778,2.733279,2.8361282
3.0,0,a7B,-0.7958228,-0.89496297,1.0309649,1.2632682
3.0,0,AIP,-1.355219,0.7903264,0.84019876,0.483867
3.0,0,a5,0.29147622,0.74112546,1.8649329,1.5592144
3.0,0,TPt,-0.79012334,1.2132082,0.5139459,0.34698567
3.0,0,a7A,0.13469727,-0.91651124,-1.4200587,-1.6883526
3.0,0,V4t,0.77275985,1.19214,0.6206581,1.2352788
3.0,0,DP,-0.02583369,1.0480587,2.3891737,0.35953158
3.0,0,MT,0.034034215,1.5625867,0.22323461,0.24958064
3.0,0,V6A,0.6992359,1.7882403,1.750876,0.62769616
3.0,0,PIP,0.0016131832,-1.0884542,-0.8016911,-1.4308199
3.0,0,V2,-0.61530674,0.24519481,0.7348705,0.67247593
3.0,0,V1,-2.6081917,-1.4788905,-1.1386626,-1.968871
3.0,0,LIP,-1.2842084,0.46797726,0.576733,1.1440433
3.0,0,a24c,-2.0050857,-2.7722545,-1.2032475,-2.5044975
3.0,0,STPc,1.1383212,0.16910395,-0.5163474,0.5774869
3.0,0,VIP,0.4460603,-1.6396666,-1.5922927,-0.47459257
3.0,0,Thal,-1.1464329,-0.28921708,-1.2950159,-0.13838479
3.0,0,MST,0.7878369,-1.5961988,0.106399745,-0.19192192
3.0,0,a46V,0.12972167,0.111525334,0.22713485,1.7311229
3.0,0,Putamen,-0.24473894,-1.579042,-1.6033112,-2.5759108
3.0,0,Ins,-0.11541421,-0.55893046,-0.5047911,-1.4633329
3.0,0,Caudate,-2.1123347,-2.714974,-2.7976859,-1.7831538
3.0,0,a7op,0.5626393,0.9295982,-0.36254895,1.4790467
3.0,0,MB,-0.001343242,1.5306894,-0.8820642,2.1822267
3.0,0,a32,-0.58638835,-0.6341875,-0.8216537,-1.2580166
3.0,0,MIP,-0.6790824,0.6787757,0.38134515,-0.84509975
3.0,0,a13,-2.5017989,-0.6891207,-1.3818246,0.42853388
3.0,0,V4,0.36649865,-0.53456825,-1.6518042,-0.0018108372
3.0,0,V3,-2.4242156,-1.7161828,-2.171192,-0.23611309
3.0,0,a11,1.058181,-0.13176309,0.17264605,-0.27177474
